"DegreePrograms"
"Wirtschaftsinformatik"
"Germanistik: Sprache, Literatur, Medien"
"Mannheim Master in Data Science"
"Internationales Studium"
"Wirtschaftspädagogik"
"Wirtschaftsmathematik"
"Romanische Sprachen, Literaturen und Medien"
"Soziologie"
"Betriebswirtschaftslehre"
"Politikwissenschaft"
"Mannheim Master in Management"
"Kultur und Wirtschaft: Philosophie"
"Gasthörer"
"Kultur und Wirtschaft: Geschichte"
"Kultur und Wirtschaft: Romanistik: Spanisch"
"Deutsch"
"Französisch"
"Kultur und Wirtschaft: Hispanistik"
"Volkswirtschaftslehre"
"Unternehmensjurist/in"
"Bildungswissenschaften und Fachdidaktik"
"Lehramt Gymnasium: Englisch"
"Lehramt Gymnasium: Spanisch"
"Kultur und Wirtschaft: Germanistik"
"Lehramt Gymnasium: Deutsch"
"HD ohne Fach in MA"
"Englisch"
"Lehramt Gymnasium: Französisch"
"Rechtswissenschaft [Kombi]"
"Literatur, Medien und Kultur der Moderne"
"Geschichte"
"Politikwissenschaft/Wirtschaftswissenschaft"
"Medien- und Kommunikationswissenschaft"
"Kultur und Wirtschaft: Anglistik/ Amerikanistik"
"Psychologie"
"Graduiertenschule VWL"
"Anglistik / Amerikanistik"
"Psychologie mit Schwerpunkt Sozial- und Kognitionspsychologie"
"MaMat"
"Lehramt Gymnasium: Geschichte"
"Germanistik"
"Lehramt Gymnasium: Mathematik"
"Anglistik"
"Romanistik: Französisch"
"Öffentliches Recht"
"Graduiertenschule BWL"
"Political Science"
"Psychologie mit Schwerpunkt Kognitive und Klinische Psychologie"
"Rechtswissenschaft"
"Intercultural German Studies"
"Kultur und Wirtschaft: Romanistik: Französisch"
"Philosophie"
"Spanisch"
"Mathematik"
"Lehramt Gymnasium: Philosophie/Ethik"
"Schüler"
"Lehramt Gymnasium: Informatik"
"Master of Laws"
"Psychologie mit Schwerpunkt Arbeit, Wirtschaft und Gesellschaft"
"Graduiertenschule Sozialwissenschaften"
"Informatik"
"Kultur und Wirtschaft: Medien- und Kommunikationswissenschaft"
"Gastpromotion"
"Kultur im Prozess der Moderne: Literatur und Medien"
"Sociology"
"Current English Linguistics and Literary Studies  (CELLS)"
"Master of Comparative Business Law"
"Hispanistik"
"Graduiertenschule Philosophische Fakultät"
"Lehramt Gymnasium: Politikwissenschaft"
"Sprache und Kommunikation"
"Lehramt Gymnasium: Italienisch"
"Angewandte Informatik"
"Mannheim Master of Accounting"
"Romanistik: Spanisch"
"International studies in practice"
"Franko-Romanistik"
"Italienisch"
"Kultur und Wirtschaft: Französistik"
"Kultur und Wirtschaft: Italianistik"
"Kultur und Wirtschaft: Romanistik: Italienisch"
"Bildungswissenschaften und Fachdidaktik (Kooperation Musikhochschule)"
"Lehramt Gymnasium: Wirtschaftswissenschaft"
"Medien- und Kommunikationswissenschaft: Digitale Kommunikation"
"nicht immatrikulierte Promoventen"
"Wettbewerbs- und Regulierungsrecht"
"Geschichte (Kultur, Gesellschaft, Wirtschaft)"
"Mannheim Master in Business Research"
"Psychologie mit Schwerpunkt Wirtschaftspsychologie"
"Politische Wissenschaft"
"Slavistik"
"Romanistik: Italienisch"
"Gap Year in Accounting & Taxation"
"Romanistik"
"Mannheim Master of Taxation"
"Mathematik und Informatik"
"Technische Informatik"
"Comparative Law"
"Italianistik"
"Germanistische Sprach- und Medienwissenschaft"
"Kulturgeschichtliches Kuratieren"
"N/A"
"Ethik und Kulturphilosophie"
"ENGAGE.EU"
"Anglistische Sprach- und Medienwissenschaft"
"Sozialwissenschaften"
"Romanische Sprach- und Medienwissenschaft"
"Germanistische Literatur- und Medienwissenschaft"
"Erziehungswissenschaft"
"Amerkanische Literatur- und Kulturwissenschaft"
"Romanistische Literatur- und Medienwissenschaft"
"Anglistische Sprachwissenschaft"
"Bildungswissenschaften und Fachdidaktik   Alleinstehender Studiengang"
