"DegreeTypes"
"Bachelor"
"Master"
"externer Abschluss"
"Gasthörer"
"1. Staatsprüfung f. Lehramt an Gymnasien"
"Bachelor of Education"
"Wissenschaftliches Beifach LAG"
"1. Staatsprüfung"
"Promotion n. vorh. Abschlussprüfung"
"Master of Education"
"Ergänzungsprüfung Diplom"
"Erweiterungsprüfung für LAG"
"Gastpromotion"
"Ergänzungsprüfung Wirtschaftspädagogik"
"Lehramt Kooperation - Bachelor"
"Master of Education (M.Ed.) Erweiterungsfach"
"Vorbereitende Studien"
"Lehramt Kooperation Master"
"Diplom"
